Trading Name,Trading Code,RIC,Mkt Cap ($M),Tot. Rev ($M),P/E,Yield (%),Sector,GTI Score,4-wk %Pr. Chg.,13-wk %Pr. Chg.,26-wk %Pr. Chg.,52-wk %Pr. Chg.,Net Profit %,ROE %,Price/CF,Debt/Equity,1-yr %Rev. Chg.,Price/Book Value
Nico Steel,5GF,NICO.SI,9.912,19.022,,,Mineral Resources,63,100,0,0,-33.33,-9.7,-8.43,,14.78,-7.19,0.85
Nippecraft,N32,NIPP.SI,9.476,167.037,,,Applied Resources,70,-15.63,-10,28.57,-20.59,-0.57,-2.35,,6.17,2.92,0.35
No Signboard,1G6,NOSI.SI,17.109,18.438,,,Cyclical Consumer Services,58,15.63,5.71,48,-35.09,-44.01,-52.77,,0,-29.72,1.31
Noble,CGP,NOBG.SI,102.578,,,,Industrial & Commercial Services,8,,,,,,,,,,
Noel Gifts Intl,543,NOEL.SI,20.29,19.873,16.06,1.01,Retailers,55,7.03,36.55,16.47,-2.75,6.36,3.83,7.36,0,-9.89,0.54
Nomura Yen1k,N33,8604.T,1702063.75,1955152,5.23,4.11,Banking & Investment Services,,-4.64,-1.64,17.09,0.68,15.69,11.16,4.61,1043.56,2.07,0.47
Nordic,MR7,NRGL.SI,86,77.098,13.89,2.82,Industrial & Commercial Services,78,2.38,2.38,-2.27,-20.37,7.86,7.15,8.8,52.79,,1.43
NSL,N02,NATS.SI,254.02,272.144,,7.35,Mineral Resources,48,4.62,-0.73,-15,-30.61,-14.61,-7.14,,9.25,,0.73
Ntegrator Intl,5HC,NTOR.SI,8.525,28.101,,,Software & IT Services,58,0,-11.11,0,14.29,-18.1,-18.47,,48.16,-12.72,0.35
NutryFarm,AZT,NUTR.SI,15.679,7.003,,,Software & IT Services,50,267.57,209.09,288.57,23.64,-30.18,-27.74,,259.02,-14.42,1.42
OCBC Bank,O39,OCBC.SI,39121.547,11233.662,10.09,5.02,Banking & Investment Services,114,2.82,-4.69,-1.35,-19.45,14.92,8.16,8.7,63.33,,1.1
Ocean Sky Intl,1B6,OCEA.SI,17.223,21.529,,,Industrial & Commercial Services,66,0,-11.11,-4.76,,-39.48,-17.44,,25.97,,0.45
Oceanus,579,OCGL.SI,170.553,14.226,,,Food & Beverages,52,0,16.67,250,250,-14.49,-10.43,211.37,3.31,130.16,3.59
OEL,584,OELH.SI,17.742,0.42,,,Real Estate,63,-5,-5,0,375,-295.95,-19.53,,145.94,,0.56
OIO,KUX,OIOH.SI,23.616,0.942,13.7,,Industrial & Commercial Services,,0,,,,172.96,,13.12,278.77,-87.47,
OKH Global,S3N,OKHG.SI,16.93,15.254,,,Industrial & Commercial Services,62,-6.25,-11.76,-11.76,-16.67,-146.6,-28.25,,166.53,,0.21
OKP,5CF,OKPH.SI,53.975,75.047,,4,Industrial & Commercial Services,75,-2.78,8.02,3.55,-12.5,1.4,-0.09,10.79,22.38,,0.5
Olam Intl,O32,OLAM.SI,4219.614,34129.258,6.82,6.2,Food & Beverages,95,2.38,-3.73,-9.15,-28.73,1.8,9.39,3.71,193.87,,0.99
Old Chang Kee,5ML,OCKL.SI,80.714,88.04,95.14,2.26,Cyclical Consumer Services,74,-2.92,-7.64,-0.75,-8.28,0.96,3.1,5,34.53,,3.35
Olive Tree,1H2,OLIV.SI,7.16,0.953,,,Real Estate,61,7.22,38.67,-5.45,,-117.84,-12.63,,125.5,,0.81
OneApex,5SY,ONEA.SI,14.365,5.934,,,Real Estate,57,0,54.55,-10.53,6.25,-18.66,-8.69,,0,49,
Ossia Intl,O08,OSSA.SI,28.295,25.53,5.6,12.5,Retailers,35,-8.94,49.33,160.47,-0.88,19.79,12.31,3.87,10.29,,0.59
OUE,LJ3,OVES.SI,1158.29,809.646,,0.85,Real Estate,64,2.61,-3.28,9.15,-15.69,6.33,-0.36,11.48,109.65,,0.33
OUE Com Reit,TS0U,OUEC.SI,1868.077,292.118,15.44,6.54,Real Estate,92.9,-8,-11.54,-19.77,-37.84,50.29,4.29,12.29,71.56,48.69,0.6
OUE Lippo HC,5WA,OUEL.SI,159.953,20.014,87.8,,Healthcare Services,79,-5.26,-14.29,-14.29,-40,6.81,0.7,60.66,122.78,,1.12
Ouhua Energy,AJ2,OUEH.SI,7.687,532.489,,,Energy - Fossil Fuels,44,-23.08,-28.57,81.82,66.67,-0.19,-3.16,1.32,168.87,,0.39
Overseas Edu,RQ1,OVER.SI,112.148,82.506,11.34,10.19,Personal & Household Products & Services,64,-5.26,-6.9,-6.9,-5.26,11.99,7.05,4.42,88.83,,0.89
Oxley,5UX,OXHL.SI,955.328,1232.96,,4.44,Real Estate,65,4.65,-2.17,-2.17,-29.69,-22.31,-22.88,,254.66,,0.98
P5 Capital,5AI,P5CA.SI,15.053,7.707,,,Industrial Goods,48,0,12.5,28.57,-3.57,-9.91,-5.6,68.59,0.98,-25.4,0.16
Pacific Andes,P11,PACF.SI,183.469,1130.023,,,Food & Beverages,50,,,,,9.06,3.95,0.92,124,-23.8,0.33
Pacific Century,P15,PCEN.SI,781.204,18.446,,12.63,Holding Companies,69,-3.28,1.72,-1.67,0.4,-13.62,-0.22,,19.43,,0.69
Pacific Radiance,T8V,PACI.SI,75.395,97.071,,,Energy - Fossil Fuels,71,,,,,-104.22,,,,3.01,
Pacific Star Dev,1C5,PACS.SI,21.6,5.712,,,Real Estate,63,0,0,0,-71.33,-740.41,,,1261.65,26.4,8.56
Pan Asian,5EW,PANA.SI,7.925,18.505,,4.86,Utilities,47,-5.13,48,146.67,105.56,-7.98,-9.86,,27.44,-33.71,0.28
Pan Hong,P36,PANH.SI,62.436,130.571,2.68,16.67,Real Estate,60,4.35,14.29,71.43,6.19,17.64,16.22,2.66,161.99,120.1,0.34
Pan Ocean,AZY,PANOx.SI,2288.014,3023.48,12.18,,Transportation,27,-1.97,-1.97,-3.86,-24.57,5.7,5.04,5.31,42.88,-1.85,0.88
PanUnited,P52,PANU.SI,193.049,551.827,16.51,4,Mineral Resources,61,-9.84,-5.17,-1.79,-15.38,2.14,5.84,5.4,74.83,,1.12
Parkson Retail,O9E,PRAL.SI,6.773,269.896,,,Retailers,79,-33.33,-47.37,150,-50,-30.67,,,107.91,-32.28,1.18
ParkwayLife Reit,C2PU,PWLR.SI,2474.458,118.114,20.01,,Real Estate,80.3,-4.66,22.82,20.65,26.63,104.69,10.72,,62.01,3.41,1.62
Pavillon,596,PAVI.SI,9.694,9.898,14.45,,Cyclical Consumer Services,42,-10.71,31.58,92.31,108.33,19.49,2.26,2.2,0.13,-28.2,
PEC,IX2,PECL.SI,102.286,495.067,,5,Energy - Fossil Fuels,58,0,-20,-6.98,-30.43,-9.19,-21.88,,8.19,,0.66
Penguin Intl,BTM,PGUN.SI,95.774,118.538,6.4,4.02,Transportation,84,3.57,-2.25,-18.69,-36.03,12.62,9.18,3.77,1.3,,0.64
Pharmesis Intl,BFK,PHAR.SI,6.112,7.793,,,,45,0,-14.52,17.78,60.61,-45.15,-24.7,,21.36,,
Pine Cap,ADJ,PINC.SI,6.577,0.917,,,Banking & Investment Services,11,,,,,-567.28,-94.6,,0,-60.41,1.31
Plastoform,AYD,PFML.SI,0.516,2.58,,,Technology Equipment,41,,,,,-54.7,,,,-66.27,
PlatoCapital,YYN,PLAT.SI,8.177,1.138,35.7,,Software & IT Services,,29.23,-26.32,-12.5,,-81.5,0.6,,27,9.47,0.31
PNE Industries,BDA,PNEI.SI,67.133,91.15,10.29,6.25,Industrial Goods,36,2.56,0,9.41,10.12,7.16,8.08,8.7,0,,0.77
Polaris,5BI,POLA.SI,51.16,47.039,150,,Retailers,58,50,-25,200,200,0.46,1.05,48.54,18.39,,1.57
Pollux Prop,5AE,PLPS.SI,57.949,14.977,25.61,,Real Estate,55,0,-12.5,-22.22,-44.74,15.04,1.16,22.09,85.86,6.4,0.27
Powermatic Data,BCY,PMDS.SI,93.087,21.756,10.41,,Technology Equipment,52,5.69,1.96,20.93,39.78,40.14,14.57,10.21,0,3.83,0.9
Prime US ReitUSD,OXMU,PRIE.SI,881.773,,,7.99,Real Estate,83.4,1.21,9.15,15.17,-10.7,,,,,,
Procurri,BVQ,PROC.SI,88.106,223.016,26.04,,Software & IT Services,59,-11.76,3.45,13.21,-17.81,1.5,7.1,6.45,66.29,,2.12
Progen,583,POGN.SI,16.401,8.585,,,Industrial & Commercial Services,60,-4.55,-2.33,320,55.56,-23.4,-6.27,,4.37,151.69,
PropNex,OYY,PROP.SI,238.65,495.081,8.18,4.65,Real Estate,72,9.32,24.04,39.15,26.99,6.21,43.07,6.9,4.19,32.56,3.21
Prudential USD,K6S,PRU.L,28659.209,27207.346,28.21,2.28,Insurance,,-6.11,-12.3,5.42,-14.12,3.78,5.91,23.75,47.31,-47.06,1.93
PSL,BLL,PSLL.SI,8.242,4.562,81.32,,Industrial & Commercial Services,61,0,0,214.89,131.25,9.78,0.37,5.64,0.72,120.17,0.25
Q&M Dental,QC7,QMDT.SI,378.297,120.53,20.76,6,Healthcare Services,73,2.17,0,16.05,-7.84,15.45,15.64,13.73,107.5,,3.37
QAF,Q01,QAFS.SI,520.618,905.213,9.71,5.52,Food & Beverages,75,-3.72,16.03,12.42,20.67,6.01,10.67,5.2,30.86,,0.86
Qian Hu,BCV,QIAN.SI,19.64,72.07,160.19,1.73,Food & Beverages,103,11.61,33.08,33.08,35.16,0.19,0.25,5.73,37.18,,0.35
QT Vascular,5I0,QTVA.SI,20.092,5.072,,,Healthcare Services,59,12.5,50,200,200,-231.78,-107.34,,14.85,,0.53
Raffles Edu,NR7,RLSE.SI,196.89,100.477,,,Industrial & Commercial Services,38,-25.41,22.73,68.75,87.5,-14.27,-2.62,123.44,62.36,,0.19
Raffles Infrastructure,LUY,RAFL.SI,34.075,38.007,3.85,,Industrial & Commercial Services,56,0,1.01,51.52,8.7,19.13,15.99,4.68,0,0.01,
Raffles Medical,BSL,RAFG.SI,1482.458,508.203,29.32,3.14,Healthcare Services,66,-0.62,-14.52,-8.09,-22.06,9.62,5.89,18.1,17.68,,2.32
RE&S Hldg,1G1,RESH.SI,26.196,110.649,,,Cyclical Consumer Services,73,-1.33,-19.57,-8.64,-53.75,-4.83,-15.37,1.19,26.11,-21.53,1.67
Reclaims Global,NEX,RECL.SI,39.3,27.292,33.59,1.27,Industrial & Commercial Services,75,3.45,-6.25,-6.25,25,4.29,5.43,11.37,0,-18.87,
Reenova Investment,5EC,REEN.SI,17.296,0,,,Banking & Investment Services,66,0,50,50,0,,-33.25,,14.81,-100,1.59
Regal Intl,UV1,REGI.SI,27.227,28.992,10.69,,Real Estate,49,-6.92,-12.32,706.67,656.25,7.96,35.68,8.46,419.89,41.39,2.59
Renaissance United,I11,RENA.SI,6.181,53.356,16.67,,Utilities,64,-50,0,0,-50,1.2,0.9,1.25,50.3,-15.3,0.31
Resources Gbl,QSD,RESU.SI,19.35,82.706,15.35,,Energy - Fossil Fuels,,-2.27,-2.27,2.38,,2.5,6.4,3.06,44.11,22.37,
Resources Prima,5MM,RESO.SI,47.076,0.038,,,Energy - Fossil Fuels,61,,,,,-7360.71,,,,-95.3,
Revez,RCU,REVE.SI,58.625,5.084,53.68,,Software & IT Services,,20.69,59.09,-4.11,27.27,21.01,14.77,42.76,10.12,84.12,8.42
Rex Intl,5WH,REXI.SI,183.941,19.973,,,Energy - Fossil Fuels,88,-10.26,-23.91,15.7,59.09,-177.01,-18.56,,22.27,,0.48
RH PetroGas,T13,RHPG.SI,15.401,80.521,,,Energy - Fossil Fuels,71,-25,-12.5,16.67,-22.22,-9.23,,1.7,,-6.55,
RHT HealthTrust,RF1U,RHTH.SI,15.417,0,,,Real Estate,46.2,0,0,0,0,,-5.8,,0,100,0.82
Rich Capital,5G4,RICH.SI,22.028,0,,,Mineral Resources,56,,,,,,-19.86,,43.35,,1.47
Riverstone,AP4,RVHL.SI,2884.527,371.867,42.89,0.84,Healthcare Services,73,14.41,21.18,229.66,301.03,18.07,25.35,34.49,2.18,,3.02
Roxy-Pacific,E8Z,RXYP.SI,452.952,422.199,18.91,3.16,Real Estate,88,7.81,6.15,1.47,-8,5.34,4.76,14.15,218.31,,1.03
Ryobi Kiso,BDN,RKHL.SI,39.254,146.908,,,Industrial & Commercial Services,66,,,,,-40.04,-96.83,,97.63,1.18,0.6
Sabana Reit,M1GU,SABA.SI,379.11,73.872,,4.66,Real Estate,71.5,-2.7,-5.26,10.77,-20,-40.01,-5.23,,59.24,,0.82
Sakae,5DO,SAKA.SI,14.2,29.892,,,Cyclical Consumer Services,46,122.22,100,100,11.11,-1.13,-0.9,2.31,157.66,-33.21,
Samko Timber,E6R,SAMT.SI,83.308,322.239,174.81,,Applied Resources,67,9.38,84.21,133.33,84.21,1.71,2.4,5.21,616.45,,2.29
SamuderaShipping,S56,SAMU.SI,90.999,493.852,7.25,2.22,Transportation,76,6.29,25.19,33.07,12.67,2.6,4.79,2.76,31.23,,0.35
Samurai,1C3,SAMR.SI,54.984,20.657,34.09,2,Chemicals,75,-7.41,-5.66,-29.58,-39.76,8.01,6.71,22.35,18.62,-13.13,4.32
Sanli Env,1E3,SANL.SI,17.463,67.061,55.56,0.92,Industrial & Commercial Services,79,0,-13.33,30,-50,0.63,1.19,10.94,10.34,-6.01,1.97
Santak,580,SATK.SI,6.455,13.258,,,Industrial Goods,49,0,-31.82,-25,,-6.27,-4.24,,0.99,-6.12,0.51
Sapphire,BRD,SAPP.SI,34.742,339.651,6.28,,Industrial & Commercial Services,64,14.86,16.44,112.5,60.38,1.5,4.25,1.95,44.59,,0.39
Sarine Tech,U77,SARI.SI,91.84,69.534,25.6,1.28,Industrial Goods,53,10.64,26.83,20.93,8.33,5.11,4.4,9.88,11.87,,1.34
Sasseur Reit,CRPU,SASS.SI,932.937,115.353,7.49,7.8,Real Estate,83.7,-0.64,0.65,9.93,-3.13,107.26,11.69,,47.2,-19.87,0.92
SATS,S58,SATS.SI,3405.891,1941.216,20.16,1.98,Transportation,131,5.94,4.12,-0.98,-38.79,9.05,10.31,11.61,5.8,6.19,3.45
SBI Offshore,5PL,SBIO.SI,9.476,0,,,Energy - Fossil Fuels,68,-9.52,-5,153.33,,,-18.55,,0,-100,
SBS Transit,S61,SBVV.SI,904.408,1339.23,13.1,4.5,Transportation,106,3.94,-3.33,3.2,-28.75,5.15,13.11,5.21,36.15,,2.5
Second Chance,528,SECD.SI,129.151,30.806,20.73,4.97,Retailers,66,2.4,-1.72,-3.39,-15.79,20.22,2.38,19.85,14.53,-4.24,0.62
Secura,43B,SECU.SI,28,35.685,,4.29,Industrial & Commercial Services,59,-7.89,-18.6,34.62,59.09,-7.24,-5.9,,26.01,,0.55
Sembcorp Ind,U96,SCIL.SI,2574.069,8290,,2.08,Utilities,118,8.27,60.59,78.66,36.12,-2.21,-1.19,5.4,163.87,,0.31
Sembcorp Marine,S51,SCMN.SI,1795.457,2246.885,,,Industrial Goods,94,-8.92,-49.44,-69.1,-81.46,-14.5,-15.03,,193.26,,1.37
Sen Yue,5BS,SENY.SI,21.654,231.739,,,Mineral Resources,58,0,0,0,-21.43,-8.27,-54.36,,154.55,-4.49,0.28
Serial System,S69,SERL.SI,63.326,916.137,,1.86,Industrial Goods,84,-4.11,-5.41,1.45,-11.39,-0.42,-1.38,36.41,106.29,,0.38
Seroja Inv,IW5,SERO.SI,30.802,-24.988,,,Transportation,56,0,-5.95,64.58,5.33,,-12.28,2.15,8.98,,0.33
SEVAK,BAI,SEVA.SI,17.442,297.468,,,Telecommunications Services,65,-17.28,-9.46,-10.07,-52.98,-0.36,-2.71,28.13,12.95,,0.87
SGX,S68,SGXL.SI,9859.106,1052.698,20.96,3.32,Banking & Investment Services,121,1.88,9.92,-6.41,11.92,44.84,40.4,17.55,0,15.71,7.77
Shanghai Turbo,AWM,SHTU.SI,27.46,3.691,,,Industrial Goods,49,,,,,-240.92,-44.32,,8.27,-16.75,
Shangri-La HKD,S07,0069.HK,21762.453,13094.779,,,Cyclical Consumer Services,,-6.18,1.17,0.33,-20.76,-15.83,-4.13,49.94,95.41,-33.4,0.73
Sheng Siong,OV8,SHEN.SI,2495.871,1249.092,22.13,3.19,Food & Drug Retailing,67,0.61,2.47,13.7,45.61,9.06,32.7,15.57,17.15,32.99,5.48
Shinvest,BJW,SHIN.SI,89.716,14.997,0.55,3,Industrial Goods,42,-17.13,6.76,3.45,25,1083.1,132.23,0.55,23.66,-14.35,0.48
Shopper360,1F0,SHOP.SI,11.311,53.28,11.38,,Cyclical Consumer Services,72,6.45,-1.98,1.02,-31.72,2.23,5.7,4.55,0.38,0.99,
SHS,566,SEEH.SI,115.124,32.526,62.07,1.85,Industrial & Commercial Services,61,-0.61,-0.61,0.62,-2.99,0.97,1.03,20.92,10.68,,0.67
SIA,C6L,SIAL.SI,10451.178,15975.9,,1.61,Transportation,94,0.29,-5.14,-20.04,-45.67,-1.06,-1.88,5.17,50.08,-2.13,0.86
SIA Engineering,S59,SIAE.SI,1922.239,994.146,9.91,4.68,Transportation,97,-6.04,-12.76,-5,-33.72,19.16,12.27,7.21,1.26,-2.62,1.8
SIIC Environment,BHK,SIIC.SI,495.916,1151.297,4.21,5.26,Utilities,66,-1.55,-13.64,-15.56,-22.45,13.6,7.06,2.18,182.05,5.45,0.45
Silkroad Nickel,STP,SILK.SI,52.177,17.633,,,Mineral Resources,74,19.76,17.65,5.26,13.64,-1.38,-1.71,27.02,23.97,,
Silverlake Axis,5CP,SLVX.SI,768.83,217.373,12.37,3.26,Software & IT Services,79,-6.56,18.75,7.55,-33.72,27.83,27.59,10.7,12.56,-2.38,7.3
Sim Leisure,URR,SIMI.SI,33.974,5.77,173.47,,Cyclical Consumer Services,71,0,-11.54,9.68,29.73,2.61,0.96,33.92,22.5,-16.65,1.77
Sin Ghee Huat,B7K,SGHC.SI,36.408,37.475,,,Mineral Resources,55,-8.89,5.81,-11.35,-30.21,-11.11,-5.02,,0,,0.56
Sin Heng Mach,BKA,SIHM.SI,36.764,70.366,54.79,,Industrial Goods,64,8.47,25.49,14.29,25.49,0.95,0.6,3.65,16,,0.37
Sinarmas Land,A26,SINA.SI,741.539,899.505,12.76,2.33,Real Estate,84,-1.21,-6.32,-11.89,-25.91,15.46,2.06,4.8,79.85,,0.43
Sincap,5UN,SINC.SI,8.529,26.196,,,Energy - Fossil Fuels,39,-16.67,-28.57,-37.5,-16.67,-0.82,-0.48,,11.65,-53.32,0.28
Sing Inv & Fin,S35,SINV.SI,189.151,87.25,10.48,2.5,Banking & Investment Services,97,0,-0.83,7.14,-15.49,35,4.89,9.64,2.59,6.54,0.64
Sing Paincare,FRQ,SINR.SI,32.163,,,3.52,Healthcare Services,,4.74,,,,,,,,,
Singapore O&G,1D8,SINP.SI,109.818,38.972,,2.17,Healthcare Services,94,2.22,-9.8,9.52,-34.29,-5.56,-5.1,3229.94,7.59,,4.02
SingaporeKitchen,5WG,SING.SI,15.19,28.054,58.68,5.1,Cyclical Consumer Products,75,0,8.89,22.5,-10.91,0.86,1.77,6.13,40.61,-12.1,1.12
SingHaiyi,5H0,SIHL.SI,296.53,57.169,,,Real Estate,73,-2.78,0,0,-24.73,-44.59,-1.21,,175.3,,0.6
SingHoldings,5IC,SHDS.SI,150.373,318.892,4.44,4.93,Real Estate,73,0,2.74,13.64,-2.6,17.13,11.96,2.74,58.63,,0.58
SingMedical,5OT,SMGL.SI,120.755,88.974,12.07,1.6,Healthcare Services,65,0,-1.96,8.7,-19.35,11.56,7.19,6.12,28.5,,1.34
SingMyanmar,Y45,SINO.SI,9.498,28.354,,,Transportation,62,3.45,-6.25,87.5,-57.14,-50.08,-51.67,,62.21,,1.35
SingPost,S08,SPOS.SI,1535.685,1313.783,22.02,4,Transportation,111,0.75,-11.76,-4.93,-28.57,7.63,5.49,9.13,18.03,-0.72,1.39
SingReinsurance,S49,SPRS.SI,169.462,116.287,22.78,4.11,Insurance,67,0,1.82,3.7,-3.45,6.41,2.76,21.7,0,,0.65
SingShipping,S19,SSHP.SI,91.883,63.375,7.65,4.35,Industrial Goods,73,2.22,-11.54,-4.17,-20.69,19.69,10.31,3.84,68.32,,1
Singtel,Z74,STEL.SI,35434.273,16542.301,33.03,5.65,Telecommunications Services,128,-1.81,-13.55,-21.38,-31.33,6.36,3.8,9.75,35.74,-4.77,1.65
Singtel 10,Z77,,,,,,,,,,,,,,,,,
Sinjia Land,5HH,SINJ.SI,4.801,0.605,,,Cyclical Consumer Services,73,19.05,13.64,212.5,38.89,-624.79,-45.24,,1.55,1.51,0.28
Sino Grandness,T4B,SOGF.SI,21.9,610.565,0.42,,Food & Beverages,42,-5,-13.64,35.71,-56.82,7.41,6.6,0.31,32.91,-9.99,0.19
SinoCloud,5EK,SINL.SI,14.294,5.827,,,Software & IT Services,49,0,0,0,0,-575.04,-58.41,,6.35,-33.21,0.35
Sinopipe,X06,SPHL.SI,40.232,0,,,Cyclical Consumer Products,36,,,,,,,,,,
Sinostar Pec,C9Q,SNSR.SI,93.059,659.198,3.93,3.45,Energy - Fossil Fuels,68,0.69,3.57,-13.69,-30.95,4.21,14.43,1.24,142.38,3.55,0.82
Sitra,5LE,SITR.SI,17.196,14.165,,,Applied Resources,59,0,0,27.27,-22.22,-9.52,-10.67,,14.3,-17.25,0.59
SK Jewellery,42G,SKJE.SI,87.188,107.194,19.72,3.23,Retailers,70,4.03,93.75,93.75,63.16,3.99,6.91,3.12,114.98,,0.84
SLB Dev,1J0,SLBD.SI,105.908,46.166,9.79,,Real Estate,61,0.87,12.62,-10.08,-3.33,21.5,7.05,10.33,59.06,,0.8
Soilbuild Const,S7P,SOIL.SI,49.633,196.099,,8.47,Industrial & Commercial Services,72,55.26,84.37,47.5,-4.84,-12.88,-35.77,,86.13,,0.6
SoilbuildBizReit,SV3U,SBSR.SI,635.215,90.528,18.52,6.06,Real Estate,87.3,2.04,20.48,28.21,-4.76,35.99,4.24,,71.27,-0.11,0.9
Soon Lian,5MD,SNLN.SI,8.1,32.446,,,Mineral Resources,66,0,5.63,368.75,44.23,-1.38,-1.54,12.76,26.5,0.16,0.22
Soup Restaurant,5KI,SRGL.SI,26.566,37.271,118.67,2.25,Cyclical Consumer Services,66,-1.11,-1.11,-1.11,-44.38,0.56,2.15,3.17,161.5,,4.75
Southern Pkg,BQP,SOUT.SI,32.437,130.749,50.95,0.54,Applied Resources,71,-8,104.44,104.44,17.95,0.49,0.57,2.38,58.81,-8.48,
SouthernAlliance,QNS,SOUH.SI,146.764,83.27,7.18,,Mineral Resources,,11.11,13.21,,,24.42,,6.54,,34.42,
SP Corp,AWE,SPPS.SI,16.146,56.015,5.64,,Industrial & Commercial Services,80,2.22,-8,24.32,-8.91,5.11,5.12,5.58,16.7,,0.36
Spackman,40E,SPAC.SI,11.681,25.226,,,Cyclical Consumer Services,78,-14.29,-33.33,-33.33,-62.5,-40.09,-13.88,,10.63,,0.26
SPH,T39,SPRM.SI,1616.656,865.662,,2.48,Cyclical Consumer Services,112,-5.61,-15.83,-33.99,-52.36,-13,-2.26,,56.53,,0.88
SPHREIT,SK6U,SPHR.SI,2279.576,241.463,,2.75,Real Estate,78.6,-6.78,-5.71,3.12,-28.26,-26.52,-2.7,,39.58,,1.02
Spindex Ind,564,SNEX.SI,104.982,149.626,8.61,3.08,Industrial Goods,53,1.68,7.06,21.33,-8.08,8.15,9.88,4.74,0.22,,0.87
Spura Finance,S23,SBDS.SI,125.362,31.108,32.75,2.53,Banking & Investment Services,88,-1.25,-1.25,3.82,-9.59,19.3,1.49,25.15,0.44,,0.54
Sri Trang Agro,NC2,STA.BK,47616,63001.711,22.08,1.13,Automobiles & Auto Parts,61,14.81,6.9,164.96,174.34,3.95,7.78,9.33,108.87,-4.13,0.81
ST Engineering,S63,STEG.SI,11209.758,7928.845,19.89,4.18,Industrial Goods,97,5.28,9.45,6.85,-9.8,7.22,25.87,11.61,76.36,,6.02
ST Group Food,DRX,STGR.SI,28.207,42.311,34.37,3.98,Cyclical Consumer Services,53,5.5,22.34,-47.73,-57.41,0.54,5.23,3.55,23.68,-15.6,
Stamford Land,H07,SFLD.SI,234.889,195.082,9.66,1.67,Cyclical Consumer Services,78,-3.23,-14.29,-16.67,-38.14,14.21,5.02,5.97,20.49,,0.8
Stamford Tyres,S29,STAS.SI,41.674,199.851,,2.84,Automobiles & Auto Parts,76,-1.68,6.02,-2.22,-20,-2.01,-3.34,7.66,70.85,,0.51
Starburst,40D,STAB.SI,107.595,15.443,61.57,0.6,Industrial & Commercial Services,55,1.22,12.16,18.57,9.21,11.64,7.6,36.29,67.67,,4.12
StarhillGbl Reit,P40U,STHL.SI,965.782,180.773,,5.7,Real Estate,78,-3.3,-12,-11.11,-41.33,-53.89,-5.27,,58.66,-12.33,0.88
StarHub,CC3,STAR.SI,2129.931,2140.6,12.7,5.69,Telecommunications Services,93,2.5,-4.65,-14.58,-3.91,7.75,33.33,4.11,259.2,-8.96,5.56
Starland,5UA,STHO.SI,14.514,3.265,50.25,30,Real Estate,69,0,20.48,-16.67,11.11,4.06,1.06,68.62,3.15,-78.04,0.52
Straco,S85,STRA.SI,434.465,64.054,31.08,5,Cyclical Consumer Services,54,0,-2.91,-1.96,-32.43,22.45,5.21,17.23,23.95,,2.39
Straits Trading,S20,STCM.SI,640.71,351.011,13.45,3.82,Mineral Resources,65,3.29,-0.63,-7.65,-23.79,16.72,3.22,9.48,60.34,,0.61
StratechGroup,BRR,STRT.SI,10.257,5.513,,,Software & IT Services,,,,,,-124.34,,,,-15.91,
SunMoonFood,AAJ,SMFC.SI,24.324,21.102,,,Food & Beverages,55,-29.55,-38,-3.13,-42.59,-21.32,-57.85,,25.15,-65.98,1.72
Sunningdale Tech,BHQ,SUND.SI,309.026,626.25,18.88,4.22,Industrial Conglomerates,77,6.62,61.81,67.71,34.17,2.64,4.39,5.86,34.16,,0.71
Sunpower,5GD,SUNP.SI,468.495,789.02,5.42,0.42,Industrial Goods,47,7.27,32.58,38.82,22.92,11.15,24.17,3.95,170.05,10.73,1.22
Sunright,S71,SNRT.SI,43.596,110.622,25.87,0.85,Technology Equipment,51,4.41,10.94,7.58,-13.41,1.54,2.03,1.77,29.67,,0.58
Sunrise Shares,581,SUNR.SI,9.211,0.564,,,Real Estate,74,12.82,57.14,300,,-97.27,-11.41,,17.54,-79.61,0.98
Suntar Eco-City,BKZ,SECL.SI,43.74,1.343,47.22,,,35,0,39,82.89,131.67,69.04,5.26,58.09,0,,0.74
Suntec Reit,T82U,SUNT.SI,4033.777,338.105,15.44,4.84,Real Estate,85.3,-4.67,0,2.88,-24.34,76.18,4.94,15.61,62.37,,0.94
SunVic Chemical,A7S,SVCH.SI,11.288,190.697,,,Chemicals,39,,,,,9.73,29.83,0.43,389.37,-43.6,0.3
SUTL Enterprise,BHU,SUTL.SI,35.449,18.035,12.7,4.88,Cyclical Consumer Services,68,3.8,10.81,26.15,-24.07,11,4.79,4.51,1.17,,0.88
Swiber,BGK,SWBR.SI,50.4,1167.025,,,Energy - Fossil Fuels,35,,,,,-2.21,-4.97,1.04,192.3,24.21,0.2
Swing Media Tech,BEV,SWMT.SI,25.725,199.303,,,Technology Equipment,50,,,,,6.53,4.97,0.6,20.46,2.19,0.09
Swissco Hldg,ADP,SWCO.SI,36.138,48.03,,,Energy - Fossil Fuels,22,,,,,-890.84,-334.88,,82.09,-58.25,0.45
Synagie,V2Y,SYNA.SI,60.567,48.673,,,Software & IT Services,70,-7.91,10.61,106.25,51.63,-1.19,-8.14,146.65,0,167.68,8.77
Sysma,5UO,SYSM.SI,35.757,33.387,42.15,7.3,Industrial & Commercial Services,54,5.38,2.24,-1.44,-23.46,2.46,1.46,11.5,0.87,10.08,0.8
TA,PA3,TACO.SI,62.168,196.514,,,Real Estate,64,26.32,-13.67,-22.08,-36.84,-15.42,-20.88,,227.83,,0.67
