Trading Name,Trading Code,RIC,Mkt Cap ($M),Tot. Rev ($M),P/E,Yield (%),Sector,GTI Score,4-wk %Pr. Chg.,13-wk %Pr. Chg.,26-wk %Pr. Chg.,52-wk %Pr. Chg.,Net Profit %,ROE %,Price/CF,Debt/Equity,1-yr %Rev. Chg.,Price/Book Value
Jadason,J03,JADA.SI,19.505,38.871,,,Technology Equipment,56,-3.57,-6.9,28.57,-20.59,-39.49,-40.61,,40.49,,0.56
Japan Foods,5OI,JPFD.SI,52.331,68.413,51.28,4.17,Cyclical Consumer Services,82,-15.49,-7.69,-14.29,-31.82,1.49,3.12,2.48,0,,2.28
Japfa,UD2,JAPF.SI,1352.469,5211.021,5.08,1.53,Food & Beverages,82,8.26,0.77,14.91,41.6,5.75,20.6,4.76,196.1,4.48,0.94
Jardine C&C,C07,JCYC.SI,7034.304,21765.236,6.86,5.95,Automobiles & Auto Parts,91,-2.89,-12.22,-15.7,-40.86,11.54,11.5,1.75,128.62,,1.65
Jason Marine,5PF,JMGL.SI,15.158,30.204,6.84,3.5,Technology Equipment,70,-1.38,2.14,19.17,8.33,7.27,8.55,5.36,0,4.14,0.32
Jasper Inv,FQ7,JASP.SI,13.046,0,,,Energy - Fossil Fuels,41,50,50,200,50,,,,0,,515.21
Jawala,1J7,JAWA.SI,22.52,6.784,31.22,2.11,Applied Resources,59,-2.56,35.71,-20.83,,16.8,6.89,17.34,1.54,-47.98,
JB Foods,BEW,JBFO.SI,171.094,545.831,5.43,4.07,Food & Beverages,75,1.8,-0.88,15.31,-14.39,5.77,16.65,4.21,85.32,,1.13
JEP,1J4,JEPH.SI,73.268,86.644,9.4,,Industrial Goods,46,4.12,-10.61,-1.67,14.94,8.99,12.91,5.13,83.47,-0.31,1.07
JES Intl,EG0,JSIH.SI,31.625,0,,,Industrial Goods,12,,,,,,,,,-100,
Jiutian Chemical,C8R,JUTN.SI,116.705,189.409,,,Chemicals,54,42.22,300,433.33,392.31,-24.62,-45.61,,22.33,-23.89,0.24
JMH USD,J36,JARD.SI,29653.299,36656,,4.22,Industrial Conglomerates,,0.47,0.89,-24.13,-24.03,-0.16,-0.65,12.11,64.78,-11.4,0.77
Joyas Intl,E9L,JIHL.SI,6.634,0.307,,,Cyclical Consumer Products,47,0,50,200,200,-103.31,-24.13,,210.83,-30.56,2.13
JSH USD,J37,JSH.SI,21913.234,29414,,1.8,Industrial Conglomerates,,-4.26,-1.74,-16.83,-33.07,-0.72,-1.27,10.2,53.45,-11.28,1.2
Jubilee,NHD,JLJH.SI,7.192,133.848,,,Industrial Goods,59,-15.15,-33.33,-44,-74.07,-3.13,-11.1,,45.97,-18.23,0.67
Jumbo,42R,JUMB.SI,202.177,143.609,31.72,3.81,Cyclical Consumer Services,74,-4.55,-10,21.15,-14.86,3.35,9.45,13.02,0,,3.9
Karin Tech,K29,KARI.SI,64.352,309.513,76.48,5,Technology Equipment,80,-3.23,0,-6.25,-6.25,0.28,1.09,22.05,27.95,-1.9,0.84
Katrina,1A0,KATR.SI,20.837,69.608,,,Cyclical Consumer Services,51,-5.26,-10,-39.6,-39.6,-14.18,-141.39,1,836.54,-6.41,3.2
Kencana Agri,BNE,KCAL.SI,23.792,163.047,,,Food & Beverages,67,-3.49,23.88,25.76,-15.31,-6.85,-53.31,1.96,1003.2,,
Keong Hong,5TT,KEHO.SI,82.472,147.425,3.97,5.15,Industrial & Commercial Services,57,3.03,1.49,1.49,-23.6,13.73,9,3.27,58.49,,0.52
Kep Infra Tr,A7RU,KEPL.SI,2769.693,1621.564,32.32,6.7,Utilities,79.5,1.83,2.78,18.09,0.91,3.84,5.17,10.83,147.06,51.45,1.47
